Time, Station, Frequencies, Comments
09:00, GYA Northwood, 11086.5 kHz, 06Z SURFACE ANALYSIS
09:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE ANALYSIS
09:06, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 96HR FORECAST SIGNIFICANT HEIGHT OF COMBINED WIND WAVES AND SWELL - WIND 10m
09:24, GYA Northwood, 11086.5 kHz, 00Z ANPS PROGNOSIS (24HR)
09:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (24HR)
09:30, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 36HR/48HR 500hPa H+T - SURFACE PRESSURE
09:36, GYA Northwood, 11086.5 kHz, 00Z ANPS PROGNOSIS (120HR)
09:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (120HR)
09:45, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, SEA SURFACE TEMPERATURE NORTH SEA
10:00, GYA Northwood, 11086.5 kHz, 06Z SURFACE ANALYSIS
10:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE ANALYSIS
10:07, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, ICE CONDITIONS CHART WESTERN BALTIC SEA OR SPECIAL AREA
10:12, GYA Northwood, 11086.5 kHz, 06Z SURFACE PROGNOSIS (24HR)
10:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE PROGNOSIS (24HR)
10:29, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 48HR WAVE PREDICTION NORTH ATLANTIC
10:36, GYA Northwood, 11086.5 kHz, 00Z ANPS PROGNOSIS (24HR)
10:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (24HR)
10:50, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, SURFACE ANALYSIS NORTH ATLANTIC / EUROPE
11:00, GYA Northwood, 11086.5 kHz, 06Z SURFACE ANALYSIS
11:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE ANALYSIS
11:11, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 36HR/48HR 850hPa H+T - 700hPa RELATIVE HUMIDITY
11:12, GYA Northwood, 11086.5 kHz, 06Z SURFACE PROGNOSIS (24HR)
11:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE PROGNOSIS (24HR)
11:23, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 60HR/72HR 500hPa H+T - SURFACE PRESSURE
11:24, GYA Northwood, 11086.5 kHz, 06Z SWELL HEIGHT AND DIRECTION (24HR)
11:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SWELL HEIGHT AND DIRECTION (24HR)
11:35, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 60HR/72HR 850hPa H+T - 700hPa RELATIVE HUMIDITY
11:36, GYA Northwood, 11086.5 kHz, 06Z SURFACE PROGNOSIS (24HR)
11:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE PROGNOSIS (24HR)
11:48, GYA Northwood, 11086.5 kHz, 06Z SWELL HEIGHT AND DIRECTION (24HR)
11:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SWELL HEIGHT AND DIRECTION (24HR)
12:00, GYA Northwood, 11086.5 kHz, 06Z SURFACE ANALYSIS
12:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE ANALYSIS
12:12, GYA Northwood, 11086.5 kHz, 06Z SURFACE PROGNOSIS (24HR)
12:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE PROGNOSIS (24HR)
12:24, GYA Northwood, 11086.5 kHz, 06Z PRECIPITATION AND VISIBILITY (12HR)
12:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z PRECIPITATION AND VISIBILITY (12HR)
12:36, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 1050
12:36, GYA Northwood, 11086.5 kHz, 06Z PRECIPITATION AND VISIBILITY (24HR)
12:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z PRECIPITATION AND VISIBILITY (24HR)
12:48, GYA Northwood, 11086.5 kHz, 06Z SURFACE ANALYSIS
12:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE ANALYSIS
12:56, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 0512
13:00, GYA Northwood, 11086.5 kHz, 06Z SURFACE PROGNOSIS (24HR)
13:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE PROGNOSIS (24HR)
13:08, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 0730
13:12, GYA Northwood, 11086.5 kHz, 06Z 10m WIND (24HR)
13:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z 10m WIND (24HR)
13:20, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 0743
13:24, GYA Northwood, 11086.5 kHz, 06Z GALE WARNING
13:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z GALE WARNING
13:32, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 0804
13:36, GYA Northwood, 11086.5 kHz, OCEAN FRONTS
13:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, OCEAN FRONTS
13:44, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 0817
13:48, GYA Northwood, 11086.5 kHz, 06Z SWELL HEIGHT AND DIRECTION (24HR)
13:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SWELL HEIGHT AND DIRECTION (24HR)
13:56, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, REBROADCAST OF 1050
14:00, GYA Northwood, 11086.5 kHz, 00Z SEA SURFACE TEMPERATURE
14:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z SEA SURFACE TEMPERATURE
14:12, GYA Northwood, 11086.5 kHz, 06Z SURFACE ANALYSIS
14:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE ANALYSIS
14:24, GYA Northwood, 11086.5 kHz, 06Z SURFACE PROGNOSIS (24HR)
14:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE PROGNOSIS (24HR)
14:25, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, BROADCAST SCHEDULE (Part 1)
14:36, GYA Northwood, 11086.5 kHz, 12Z SURFACE ANALYSIS
14:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE ANALYSIS
14:45, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, BROADCAST SCHEDULE (Part 2)
15:00, GYA Northwood, 11086.5 kHz, 12Z SURFACE ANALYSIS
15:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE ANALYSIS
15:08, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, ICE CONDITIONS CHART NORTHWEST ATLANTIC / CANADIAN ICE SERV. OR INT. ICE PATROL
15:12, GYA Northwood, 11086.5 kHz, 00Z ANPS PROGNOSIS (24HR)
15:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (24HR)
15:20, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, ICE CONDITIONS CHART BALTIC SEA OR SPECIAL AREA
15:24, GYA Northwood, 11086.5 kHz, 00Z ANPS PROGNOSIS (120HR)
15:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (120HR)
15:36, GYA Northwood, 11086.5 kHz, 06Z SWELL HEIGHT AND DIRECTION (48HR)
15:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SWELL HEIGHT AND DIRECTION (48HR)
15:40, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, ICE CONDITIONS CHART EUROPEAN ARCTIC SEA OR SPECIAL AREA
16:00, GYA Northwood, 11086.5 kHz, 12Z SURFACE ANALYSIS
16:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE ANALYSIS
16:24, GYA Northwood, 11086.5 kHz, 06Z 10m WIND (24HR)
16:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z 10m WIND (24HR)
16:36, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, SURFACE ANALYSIS NORTH ATLANTIC / EUROPE
16:36, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (24HR)
16:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (24HR)
16:48, GYA Northwood, 11086.5 kHz, 06Z 10m WIND (48HR)
16:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SURFACE WINDS (48HR)
17:00, GYA Northwood, 11086.5 kHz, 12Z SURFACE ANALYSIS
17:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE ANALYSIS
17:12, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (24HR)
17:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (24HR)
17:24, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (48HR)
17:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (48HR)
17:48, GYA Northwood, 11086.5 kHz, 06Z SWELL HEIGHT AND DIRECTION (72HR)
17:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 06Z SWELL HEIGHT AND DIRECTION (72HR)
18:00, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, SURFACE PRESSURE ANALYSIS
18:00, GYA Northwood, 11086.5 kHz, 12Z SURFACE ANALYSIS
18:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE ANALYSIS
18:12, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (24HR)
18:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (24HR)
18:21, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, INFORMATION OF TROPICAL STORMS / NORTH ATLANTIC (during season)
18:24, GYA Northwood, 11086.5 kHz, 12Z SURFACE ANALYSIS
18:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE ANALYSIS
18:34, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 36HR FORECAST SURFACE PRESSURE
18:36, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (24HR)
18:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (24HR)
18:47, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 48HR FORECAST SURFACE PRESSURE
18:48, GYA Northwood, 11086.5 kHz, 12Z SURFACE ANALYSIS
18:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE ANALYSIS
19:00, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 84HR FORECAST SURFACE PRESSURE
19:00, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (24HR)
19:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (24HR)
19:13, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 24HR FORECAST SIGNIFICANT HEIGHT OF COMBINED WIND WAVES AND SWELL / WIND 10m
19:24, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (48HR)
19:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (48HR)
19:26, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 48HR FORECAST SIGNIFICANT HEIGHT OF COMBINED WIND WAVES AND SWELL / WIND 10m
19:36, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (72HR)
19:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (72HR)
19:39, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 72HR FORECAST SIGNIFICANT HEIGHT OF COMBINED WIND WAVES AND SWELL / WIND 10m
19:48, GYA Northwood, 11086.5 kHz, 12Z SURFACE PROGNOSIS (96HR)
19:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (96HR)
20:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (120HR)
20:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (48HR)
20:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z PRECIPITATION AND VISIBILITY (12HR)
20:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z SURFACE PROGNOSIS (24HR)
21:00, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, ICE CONDITIONS CHART NORTHWEST ATLANTIC
21:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE ANALYSIS
21:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 12Z PRECIPITATION AND VISIBILITY (24HR)
21:15, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, ICE CONDITIONS CHART BALTIC SEA OR SPECIAL AREA
21:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (24HR)
21:36, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, 48HR WAVE PREDICTION SURFACE WEATHER CHART NORTH ATLANTIC
21:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (120HR)
22:00, DDH3/DDK6, 3855 kHz / 7880 kHz / 13882.5 kHz, SURFACE ANALYSIS NORTH ATLANTIC / EUROPE
22:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE ANALYSIS
22:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE PROGNOSIS (24HR)
22:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 00Z ANPS PROGNOSIS (24HR)
23:00, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE ANALYSIS
23:12, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE PROGNOSIS (24HR)
23:24, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SWELL HEIGHT AND DIRECTION (24HR)
23:36, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SURFACE PROGNOSIS (24HR)
23:48, GYA Northwood, 2618.5 kHz / 4610 kHz / 8040 kHz, 18Z SWELL HEIGHT AND DIRECTION (24HR)
